ID,Day,Hour,count
329,14,18,3679
330,14,19,2176
331,14,20,1342
332,14,21,813
333,14,22,554
334,14,23,286
335,15,00,170
336,15,01,88
337,15,02,42
338,15,03,30
339,15,04,49
340,15,05,321
341,15,06,994
342,15,07,2164
343,15,08,3993
344,15,09,2875
345,15,10,1508
346,15,11,1596
347,15,12,1779
348,15,13,1861
349,15,14,1874
350,15,15,2059
351,15,16,2582
352,15,17,4380
353,15,18,4461
354,15,19,2758
355,15,20,1569
356,15,21,1125
357,15,22,835
358,15,23,459
359,16,00,249
360,16,01,147
361,16,02,72
362,16,03,43
363,16,04,42
364,16,05,274
365,16,06,917
366,16,07,2013
367,16,08,3831
368,16,09,2915
369,16,10,1551
370,16,11,1460
371,16,12,1612
372,16,13,1703
373,16,14,1802
374,16,15,1975
375,16,16,2469
376,16,17,3625
377,16,18,3180
378,16,19,2059
379,16,20,1149
380,16,21,796
381,16,22,599
382,16,23,438
383,17,00,298
384,17,01,176
385,17,02,111
386,17,03,73
387,17,04,47
388,17,05,51
389,17,06,161
390,17,07,374
391,17,08,808
392,17,09,1285
393,17,10,1664
394,17,11,1929
395,17,12,2349
396,17,13,2331
397,17,14,2468
398,17,15,2491
399,17,16,2402
400,17,17,2150
401,17,18,1940
402,17,19,1656
403,17,20,1036
404,17,21,778
405,17,22,619
406,17,23,474
407,18,00,332
408,18,01,219
409,18,02,158
410,18,03,79
411,18,04,74
412,18,05,109
413,18,06,176
414,18,07,348
415,18,08,681
416,18,09,1068
417,18,10,1456
418,18,11,1758
419,18,12,2013
420,18,13,2093
421,18,14,2136
422,18,15,2172
423,18,16,2191
424,18,17,2113
425,18,18,1914
426,18,19,1421
427,18,20,1009
428,18,21,803
429,18,22,499
430,18,23,336
431,19,00,162
432,19,01,111
433,19,02,76
434,19,03,33
435,19,04,49
436,19,05,323
437,19,06,1054
438,19,07,2197
439,19,08,3979
440,19,09,2767
441,19,10,1329
442,19,11,1343
443,19,12,1681
444,19,13,1698
445,19,14,1790
446,19,15,1994
447,19,16,2706
448,19,17,4543
449,19,18,4536
450,19,19,2873
451,19,20,1742
452,19,21,1169
453,19,22,719
454,19,23,404
455,20,00,182
456,20,01,84
457,20,02,37
458,20,03,32
459,20,04,58
460,20,05,328
461,20,06,1126
462,20,07,2377
463,20,08,4643
464,20,09,3105
465,20,10,1479
466,20,11,1198
467,20,12,1429
468,20,13,1443
469,20,14,1437
470,20,15,1639
471,20,16,2164
472,20,17,3542
473,20,18,3481
474,20,19,2243
475,20,20,1406
476,20,21,1009
477,20,22,688
478,20,23,402
479,21,00,224
480,21,01,110
481,21,02,62
482,21,03,51
483,21,04,51
484,21,05,241
485,21,06,602
486,21,07,714
487,21,08,844
488,21,09,338
489,21,10,125
490,21,11,157
491,21,12,219
492,21,13,17
493,22,06,294
494,22,07,781
495,22,08,1722
496,22,09,1544
497,22,10,898
498,22,11,880
499,22,12,1202
500,22,13,1215
501,22,14,1473
502,22,15,1604
503,22,16,2114
504,22,17,3694
505,22,18,3669
506,22,19,2381
507,22,20,1557
508,22,21,1021
509,22,22,786
510,22,23,473
511,23,00,248
512,23,01,121
513,23,02,56
514,23,03,34
515,23,04,57
516,23,05,285
517,23,06,963
518,23,07,1918
519,23,08,3814
520,23,09,2907
521,23,10,1557
522,23,11,1557
523,23,12,1943
524,23,13,1979
525,23,14,2197
526,23,15,2274
527,23,16,2830
528,23,17,4225
529,23,18,3631
530,23,19,2364
531,23,20,1328
532,23,21,924
533,23,22,763
534,23,23,551
535,24,00,383
536,24,01,244
537,24,02,129
538,24,03,81
539,24,04,61
540,24,05,58
541,24,06,170
542,24,07,463
543,24,08,906
544,24,09,1489
545,24,10,1982
546,24,11,2470
547,24,12,2879
548,24,13,3116
549,24,14,3290
550,24,15,3218
551,24,16,3205
552,24,17,2820
553,24,18,2493
554,24,19,1741
555,24,20,1079
556,24,21,888
557,24,22,683
558,24,23,549
559,25,00,397
560,25,01,224
561,25,02,149
562,25,03,95
563,25,04,69
564,25,05,43
565,25,06,129
566,25,07,295
567,25,08,621
568,25,09,1187
569,25,10,1601
570,25,11,2016
571,25,12,2212
572,25,13,2325
573,25,14,2154
574,25,15,2081
575,25,16,2103
576,25,17,2077
577,25,18,1893
578,25,19,1411
579,25,20,912
580,25,21,710
581,25,22,528
582,25,23,330
583,26,00,151
584,26,01,80
585,26,02,40
586,26,03,23
587,26,04,52
588,26,05,321
589,26,06,1046
590,26,07,2155
591,26,08,4074
592,26,09,2889
593,26,10,1479
594,26,11,1376
595,26,12,1694
596,26,13,1843
597,26,14,1909
598,26,15,2155
599,26,16,2840
600,26,17,4743
601,26,18,4574
602,26,19,2823
603,26,20,1718
604,26,21,1085
605,26,22,808
606,26,23,417
607,27,00,178
608,27,01,93
609,27,02,62
610,27,03,41
611,27,04,77
612,27,05,368
613,27,06,1178
614,27,07,2530
615,27,08,4712
616,27,09,3224
617,27,10,1694
618,27,11,1539
619,27,12,1799
620,27,13,1863
621,27,14,1832
622,27,15,2015
623,27,16,2585
624,27,17,4298
625,27,18,4376
626,27,19,2844
627,27,20,1798
628,27,21,1151
629,27,22,714
630,27,23,383
631,28,00,145
632,28,01,61
633,28,02,34
634,28,03,21
635,28,04,58
636,28,05,174
637,28,06,914
638,28,07,2119
639,28,08,4283
640,28,09,3242
641,28,10,1700
642,28,11,1545
643,28,12,1912
644,28,13,1924
645,28,14,1946
646,28,15,2196
647,28,16,2800
648,28,17,4712
649,28,18,4744
650,28,19,3076
651,28,20,1932
652,28,21,1389
653,28,22,1000
654,28,23,592
655,29,00,282
656,29,01,152
657,29,02,81
658,29,03,69
659,29,04,69
660,29,05,369
661,29,06,1271
662,29,07,2178
663,29,08,3739
664,29,09,2301
665,29,10,1019
666,29,11,1241
667,29,12,1653
668,29,13,1827
669,29,14,1992
670,29,15,2238
671,29,16,3018
672,29,17,4333
673,29,18,4139
674,29,19,2653
675,29,20,1764
676,29,21,1267
677,29,22,976
678,29,23,659
679,30,00,328
680,30,01,200
681,30,02,116
682,30,03,70
683,30,04,69
684,30,05,227
685,30,06,633
686,30,07,1260
687,30,08,2800
688,30,09,3013
689,30,10,1963
690,30,11,2173
691,30,12,2504
692,30,13,2692
693,30,14,2960
694,30,15,3165
695,30,16,1788
696,30,17,1718
697,30,18,2130
698,30,19,1582
699,30,20,1215
700,30,21,904
701,30,22,707
702,30,23,568
703,31,00,370
704,31,01,236
705,31,02,126
706,31,03,100
707,31,04,53
708,31,05,71
709,31,06,165
710,31,07,481
711,31,08,993
712,31,09,1796
713,31,10,2492
714,31,11,3460
715,31,12,3885
716,31,13,4168
717,31,14,4292
718,31,15,4268
719,31,16,3869
720,31,17,3333
721,31,18,2596
722,31,19,1776
723,31,20,1095
724,31,21,839
725,31,22,716
726,31,23,606
