ID,Age,Category,Day,gender,tripduration
156,1935 - 1939,1,22,0,285.0
157,1935 - 1939,1,22,1,513.615384615
158,1935 - 1939,1,22,2,1586.66666667
159,1935 - 1939,1,23,0,798.0
160,1935 - 1939,1,23,1,650.4
161,1935 - 1939,1,23,2,1532.5
162,1935 - 1939,1,24,0,0.0
163,1935 - 1939,1,24,1,752.142857143
164,1935 - 1939,1,24,2,792.5
165,1935 - 1939,1,25,0,0.0
166,1935 - 1939,1,25,1,477.666666667
167,1935 - 1939,1,25,2,625.5
168,1935 - 1939,1,26,0,960.5
169,1935 - 1939,1,26,1,748.5
170,1935 - 1939,1,26,2,1369.42857143
171,1935 - 1939,1,27,0,167.0
172,1935 - 1939,1,27,1,1107.72222222
173,1935 - 1939,1,27,2,542.0
174,1935 - 1939,1,28,0,0.0
175,1935 - 1939,1,28,1,959.923076923
176,1935 - 1939,1,28,2,552.666666667
177,1935 - 1939,1,29,0,395.333333333
178,1935 - 1939,1,29,1,678.857142857
179,1935 - 1939,1,29,2,753.25
180,1935 - 1939,1,30,0,213.0
181,1935 - 1939,1,30,1,644.666666667
182,1935 - 1939,1,30,2,756.2
183,1935 - 1939,1,31,0,401.0
184,1935 - 1939,1,31,1,700.8
185,1935 - 1939,1,31,2,710.0
186,1940 - 1944,2,01,0,1814.0
187,1940 - 1944,2,01,1,705.319148936
188,1940 - 1944,2,01,2,860.722222222
189,1940 - 1944,2,02,0,200.0
190,1940 - 1944,2,02,1,398.875
191,1940 - 1944,2,02,2,0.0
192,1940 - 1944,2,03,0,823.5
193,1940 - 1944,2,03,1,672.021276596
194,1940 - 1944,2,03,2,782.043478261
195,1940 - 1944,2,04,0,0.0
196,1940 - 1944,2,04,1,652.464285714
197,1940 - 1944,2,04,2,755.727272727
198,1940 - 1944,2,05,0,198.0
199,1940 - 1944,2,05,1,734.627906977
200,1940 - 1944,2,05,2,833.0
201,1940 - 1944,2,06,0,256.5
202,1940 - 1944,2,06,1,710.412371134
203,1940 - 1944,2,06,2,796.965517241
204,1940 - 1944,2,07,0,295.0
205,1940 - 1944,2,07,1,468.176470588
206,1940 - 1944,2,07,2,509.4
207,1940 - 1944,2,08,0,196.333333333
208,1940 - 1944,2,08,1,761.0
209,1940 - 1944,2,08,2,787.785714286
210,1940 - 1944,2,09,0,298.75
211,1940 - 1944,2,09,1,811.920634921
212,1940 - 1944,2,09,2,946.774193548
213,1940 - 1944,2,10,0,191.0
214,1940 - 1944,2,10,1,564.125
215,1940 - 1944,2,10,2,517.869565217
216,1940 - 1944,2,11,0,0.0
217,1940 - 1944,2,11,1,754.38028169
218,1940 - 1944,2,11,2,636.192307692
219,1940 - 1944,2,12,0,1359.5
220,1940 - 1944,2,12,1,670.323943662
221,1940 - 1944,2,12,2,895.192307692
222,1940 - 1944,2,13,0,187.0
223,1940 - 1944,2,13,1,553.285714286
224,1940 - 1944,2,13,2,544.666666667
225,1940 - 1944,2,14,0,1265.5
226,1940 - 1944,2,14,1,569.376811594
227,1940 - 1944,2,14,2,748.916666667
228,1940 - 1944,2,15,0,1904.0
229,1940 - 1944,2,15,1,677.493670886
230,1940 - 1944,2,15,2,740.0625
231,1940 - 1944,2,16,0,0.0
232,1940 - 1944,2,16,1,644.738461538
233,1940 - 1944,2,16,2,551.24
234,1940 - 1944,2,17,0,495.0
235,1940 - 1944,2,17,1,1062.02083333
236,1940 - 1944,2,17,2,514.555555556
237,1940 - 1944,2,18,0,356.0
238,1940 - 1944,2,18,1,655.25
239,1940 - 1944,2,18,2,606.6
240,1940 - 1944,2,19,0,1198.5
241,1940 - 1944,2,19,1,606.413793103
242,1940 - 1944,2,19,2,764.72
243,1940 - 1944,2,20,0,198.0
